venue_id,venue_name,venue_lat,venue_long,venue_category,neighborhood,neighb_lat,neighb_long
4beec105e24d20a12c4b7314,Marble Hill Playground,40.877765307311414,-73.90799442086168,Playground,Marble Hill,40.87655077879964,-73.91065965862981
4e6259bcae60e9edf5b4f396,The Secret Stairs,40.87594862476864,-73.90839396773141,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4bc23af3461576b04f197d32,Broadway Bridge,40.873650478463574,-73.91106743157195,Bridge,Marble Hill,40.87655077879964,-73.91065965862981
4aa00bcdf964a520103e20e3,Planet Fitness,40.8740876399889,-73.90913665215993,Gym / Fitness Center,Marble Hill,40.87655077879964,-73.91065965862981
4c83f3c0e602b1f7d78baa7a,Waterfront DSNY,40.86847530832377,-73.91168747355391,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4b12e631f964a5206d9023e3,Henry Hudson Bridge,40.87772532926584,-73.92225980758667,Bridge,Marble Hill,40.87655077879964,-73.91065965862981
4c4b8403f7cc1b8d0676f83f,Jerome Park Reservoir,40.87258362206072,-73.90064260006244,Lake,Marble Hill,40.87655077879964,-73.91065965862981
53fbbab3498e41f50c2fac75,3210 Riverdale Avenue - Wellness Center & Gym,40.88274556055887,-73.90762471971445,Gym,Marble Hill,40.87655077879964,-73.91065965862981
49fe029cf964a5205d6f1fe3,Inwood Hill Park,40.870857526105226,-73.92012895296453,Park,Marble Hill,40.87655077879964,-73.91065965862981
4bc21baa4cdfc9b6ba8f9521,Shorakkopoch Rock,40.873258366077955,-73.92371490034382,Other Great Outdoors,Marble Hill,40.87655077879964,-73.91065965862981
4c58d06dec2520a1e4bf4d12,Henry Hudson Memorial Park,40.8807484604287,-73.91918989994824,Park,Marble Hill,40.87655077879964,-73.91065965862981
4d9f6912ffa4a090ce6d579d,Amtrak Empire Corridor: Spuyten Duyvil / Inwood Park Swing Bridge,40.879381563838216,-73.92413039809074,Bridge,Marble Hill,40.87655077879964,-73.91065965862981
4e239616628469a5742c369e,Raul (The),40.8842912,-73.9201508,Plaza,Marble Hill,40.87655077879964,-73.91065965862981
4c032b7cf423a593f7f5cf16,Half Moon Overlook,40.88011141094934,-73.92240453379507,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4e51273252b1e893ad727785,Reservoir,40.87795886200216,-73.89855398603851,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4bc5d9464a9aa5933e00077b,Inwood Hill Park Peninsula,40.873752744342916,-73.91997968655967,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
53b81424498efbd69a9310cb,riverdale kenshikai,40.886984000000005,-73.906791,Athletics & Sports,Marble Hill,40.87655077879964,-73.91065965862981
5161ef99e4b0b09dc18e3c8a,Pat's Lawn,40.87292725910921,-73.91976726878593,Field,Marble Hill,40.87655077879964,-73.91065965862981
5800bd5738fa86389f22eaa7,235th street footbridge,40.886749,-73.912416,Bridge,Marble Hill,40.87655077879964,-73.91065965862981
4dbf5056cda12687c8321adb,Washington's Walk,40.87255460684972,-73.90056259601329,Park,Marble Hill,40.87655077879964,-73.91065965862981
4c7510ae604a370409858149,Ewen Park,40.88173532177105,-73.90997283520662,Park,Marble Hill,40.87655077879964,-73.91065965862981
4ff611a3e4b0d27dd72f8525,Barnhill Triangle,40.86853408250574,-73.90167071976383,Park,Marble Hill,40.87655077879964,-73.91065965862981
50ddd657e4b0a2f2fd49c98a,Tibbett Avenue,40.88057040504288,-73.9079002101855,Other Great Outdoors,Marble Hill,40.87655077879964,-73.91065965862981
4ef8c5d461af4546ff68b035,215th Street,40.87138347145125,-73.91799627438594,Other Great Outdoors,Marble Hill,40.87655077879964,-73.91065965862981
4dbf6031b5924d4e4424e7e0,Lookout Point Park,40.87337732654082,-73.90047073054942,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4bce0773c564ef3b6686edf0,Baker Athletic Complex,40.87206097197959,-73.91487585478518,Athletics & Sports,Marble Hill,40.87655077879964,-73.91065965862981
57a532af498e35ab6dc88f92,Cooney Grauer Field,40.87986,-73.90166,Athletics & Sports,Marble Hill,40.87655077879964,-73.91065965862981
5aeaedfb67e5f2002ca4f987,Build N Box,40.87984709875546,-73.90430205886244,Gym / Fitness Center,Marble Hill,40.87655077879964,-73.91065965862981
4c4b831ec668e21ed4f524fa,Old Fort Park,40.87464151,-73.90126417,Basketball Court,Marble Hill,40.87655077879964,-73.91065965862981
55f751ca498eacc0307d1cfe,Blink Fitness,40.877271495944626,-73.90559491338075,Gym,Marble Hill,40.87655077879964,-73.91065965862981
4b43d659f964a52091eb25e3,24 Hour Fitness,40.880592396333974,-73.90825497205688,Gym / Fitness Center,Marble Hill,40.87655077879964,-73.91065965862981
4cf6ae55d3a8a1cd71a9d243,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym,Marble Hill,40.87655077879964,-73.91065965862981
4eab4bb1775bf08569ef656d,DYCKAMN,40.8803840587172,-73.908072451332,Other Great Outdoors,Marble Hill,40.87655077879964,-73.91065965862981
5932bbeee65d0c4629775f55,Egg Park,40.882847,-73.9094,Playground,Marble Hill,40.87655077879964,-73.91065965862981
4b11bbc1f964a520598323e3,Homer's Dog Run,40.87110405090399,-73.92176417332969,Dog Run,Marble Hill,40.87655077879964,-73.91065965862981
4b93fa4df964a520805e34e3,Paul's Park,40.880814671288334,-73.91927463941367,Park,Marble Hill,40.87655077879964,-73.91065965862981
4e276fe8149554c7742ffa89,Spuyten Duyvil Shorefront Park,40.87862004519057,-73.9217283337996,Park,Marble Hill,40.87655077879964,-73.91065965862981
4aa84225f964a520755020e3,Isham Park,40.86964681199003,-73.91921038865577,Park,Marble Hill,40.87655077879964,-73.91065965862981
4dffff6952b10e7477997ee5,Stairing Is Caring,40.86977743640557,-73.9166900555486,Trail,Marble Hill,40.87655077879964,-73.91065965862981
4c99104607916dcbce8bf11b,Bruce's Garden,40.8696302016488,-73.91768678011981,Garden,Marble Hill,40.87655077879964,-73.91065965862981
5229106011d21d770ee91ec4,inwood Basketball,40.870296478271484,-73.92154693603516,Basketball Court,Marble Hill,40.87655077879964,-73.91065965862981
4b9cf9cef964a520ff8536e3,La Palestra 99,40.873919,-73.917065,Gym,Marble Hill,40.87655077879964,-73.91065965862981
4e971d5477c83a3315b11400,Meditation Space,40.871949814811515,-73.91905538050072,Scenic Lookout,Marble Hill,40.87655077879964,-73.91065965862981
4c991196db10b60c9df7866d,Indian Road Playground,40.87180127827139,-73.9198711812677,Playground,Marble Hill,40.87655077879964,-73.91065965862981
563bdc3c498e41deb91b3904,Broadway secret stairs,40.87925155755793,-73.90469075564502,Trail,Marble Hill,40.87655077879964,-73.91065965862981
53f10ba4498e0ebf36960bbd,Manhattan Bridge Pedestrian Path,40.71553659255654,-73.9958771462488,Trail,Chinatown,40.71561842231432,-73.99427936255978
4e5431db6284ed0e1c12cbf4,Manhattan Bridge Bike Path,40.70677773237322,-73.99043785414028,Bridge,Chinatown,40.71561842231432,-73.99427936255978
59cd5e7ee96d0c7515ce6d4f,Equinox Orchard Street,40.72237017311023,-73.98793738659782,Gym,Chinatown,40.71561842231432,-73.99427936255978
4a32c3f9f964a5208c9a1fe3,Manhattan Bridge,40.70766121010457,-73.9909029006958,Bridge,Chinatown,40.71561842231432,-73.99427936255978
4a43bcb7f964a520bba61fe3,Brooklyn Bridge,40.70596749893083,-73.99670720100403,Bridge,Chinatown,40.71561842231432,-73.99427936255978
